contract_id,supplier_id,contract_value_million,contract_type,award_date,expected_duration_months,status
CTR00063,SUP0319,3.03,Production,2022-03-17,28,terminated
CTR00064,SUP0114,1.46,R&D,2021-12-27,9,active
CTR00065,SUP0473,2.7,Sustainment,2021-09-16,57,terminated
CTR00066,SUP0064,2.16,Tech Services,2020-05-31,9,terminated
CTR00067,SUP0352,3.08,Production,2020-08-21,52,completed
CTR00068,SUP0457,1.79,Tech Services,2023-03-08,26,active
CTR00069,SUP0218,4.19,Sustainment,2024-12-05,42,delayed
CTR00070,SUP0130,0.69,Sustainment,2020-08-28,46,delayed
CTR00071,SUP0372,4.17,R&D,2023-10-31,7,completed
CTR00072,SUP0100,1.86,Tech Services,2022-07-24,12,delayed
CTR00073,SUP0128,7.26,R&D,2025-02-10,54,delayed
CTR00074,SUP0299,2.53,Production,2022-07-10,21,terminated
CTR00075,SUP0498,12.66,R&D,2020-10-26,22,terminated
CTR00076,SUP0142,3.22,Production,2024-11-09,25,active
CTR00077,SUP0285,0.89,Sustainment,2023-12-01,28,terminated
CTR00078,SUP0443,6.04,Sustainment,2021-10-08,39,delayed
CTR00079,SUP0460,1.48,Tech Services,2023-11-02,16,active
CTR00080,SUP0229,1.49,Production,2022-03-13,39,active
CTR00081,SUP0224,0.11,Sustainment,2023-06-22,38,completed
CTR00082,SUP0082,2.78,Tech Services,2023-01-01,31,terminated
CTR00083,SUP0079,2.68,Tech Services,2022-10-29,7,active
CTR00084,SUP0328,1.54,R&D,2020-10-08,28,delayed
CTR00085,SUP0061,7.86,Tech Services,2024-05-25,46,active
CTR00086,SUP0099,0.48,Sustainment,2021-02-26,27,active
CTR00087,SUP0055,1.4,R&D,2024-12-09,39,completed
CTR00088,SUP0410,1.36,Production,2024-11-04,20,delayed
CTR00089,SUP0057,0.34,Production,2022-01-05,15,delayed
CTR00090,SUP0276,2.3,Sustainment,2021-03-15,20,terminated
CTR00091,SUP0334,4.07,Sustainment,2021-01-17,47,delayed
CTR00092,SUP0438,2.51,R&D,2024-05-17,34,active
CTR00093,SUP0218,0.6,R&D,2020-12-31,28,delayed
CTR00094,SUP0374,1.66,Sustainment,2022-12-17,22,delayed
CTR00095,SUP0486,0.01,Sustainment,2024-05-22,14,active
CTR00096,SUP0414,7.1,Production,2025-04-21,55,completed
CTR00097,SUP0302,0.31,Production,2022-10-10,41,terminated
CTR00098,SUP0157,3.18,Production,2021-01-27,14,terminated
CTR00099,SUP0430,15.01,Sustainment,2021-04-21,21,completed
CTR00100,SUP0308,2.69,Tech Services,2021-10-26,41,active
CTR00101,SUP0315,9.02,Sustainment,2020-12-08,53,terminated
CTR00102,SUP0443,0.94,Sustainment,2021-11-21,56,completed
CTR00103,SUP0475,4.99,Production,2021-03-29,38,completed
CTR00104,SUP0039,2.65,Sustainment,2021-08-19,36,completed
CTR00105,SUP0328,4.46,R&D,2024-07-06,11,terminated
CTR00106,SUP0275,0.23,Sustainment,2021-07-01,15,terminated
CTR00107,SUP0352,0.56,Sustainment,2023-05-15,21,terminated
CTR00108,SUP0084,0.5,Sustainment,2023-02-25,9,terminated
CTR00109,SUP0009,4.07,Sustainment,2021-10-14,59,delayed
CTR00110,SUP0196,6.51,Tech Services,2021-04-20,27,completed
CTR00111,SUP0032,4.85,Sustainment,2020-12-24,18,delayed
CTR00112,SUP0301,0.11,R&D,2024-11-28,21,completed
CTR00113,SUP0358,7.07,R&D,2024-02-05,57,terminated
CTR00114,SUP0018,1.53,Sustainment,2023-06-10,34,terminated
CTR00115,SUP0247,1.77,Production,2024-05-07,11,delayed
CTR00116,SUP0149,0.39,Tech Services,2024-12-04,31,active
CTR00117,SUP0444,4.68,Sustainment,2021-04-28,16,terminated
CTR00118,SUP0464,0.7,Sustainment,2025-01-24,29,active
CTR00119,SUP0045,2.91,Sustainment,2022-06-11,34,completed
CTR00120,SUP0373,6.43,Production,2023-11-29,8,delayed
CTR00121,SUP0455,0.33,Production,2024-03-04,57,active
CTR00122,SUP0020,2.68,Production,2024-08-09,15,active
CTR00123,SUP0053,0.93,Tech Services,2022-05-29,6,terminated
CTR00124,SUP0132,1.47,R&D,2021-11-24,57,active
CTR00125,SUP0021,2.25,Tech Services,2020-07-19,48,active
CTR00126,SUP0358,1.54,Production,2020-09-17,31,completed
CTR00127,SUP0299,3.66,R&D,2020-06-28,17,delayed
CTR00128,SUP0067,2.29,R&D,2021-06-04,19,terminated
CTR00129,SUP0374,3.07,Production,2023-11-20,30,terminated
CTR00130,SUP0110,4.67,Production,2021-06-25,13,active
CTR00131,SUP0040,2.86,Tech Services,2020-10-30,48,completed
CTR00132,SUP0085,3.09,Production,2024-04-06,9,active
CTR00133,SUP0118,2.91,R&D,2022-05-28,33,active
CTR00134,SUP0450,1.67,Sustainment,2020-10-28,12,terminated
CTR00135,SUP0424,1.44,Production,2024-10-15,15,active
CTR00136,SUP0152,8.05,Production,2020-12-07,56,active
CTR00137,SUP0128,3.27,Tech Services,2022-06-13,41,completed
CTR00138,SUP0233,0.98,Tech Services,2023-09-22,7,terminated
CTR00139,SUP0473,2.41,Production,2020-10-19,31,delayed
CTR00140,SUP0180,1.4,R&D,2023-10-05,58,completed
CTR00141,SUP0115,9.5,R&D,2022-06-04,55,completed
CTR00142,SUP0084,0.03,Sustainment,2020-05-19,19,completed
CTR00143,SUP0265,0.89,Production,2024-08-20,21,terminated
CTR00144,SUP0100,1.59,Tech Services,2021-05-17,59,active
CTR00145,SUP0007,2.34,R&D,2024-02-29,48,delayed
CTR00146,SUP0368,6.66,Sustainment,2022-03-01,47,terminated
CTR00147,SUP0125,0.32,Production,2020-08-03,22,active
CTR00148,SUP0298,5.74,R&D,2023-10-29,51,completed
CTR00149,SUP0059,0.2,Production,2022-02-13,27,terminated
CTR00150,SUP0301,6.47,Production,2022-12-07,9,active
CTR00151,SUP0126,0.19,R&D,2023-11-05,24,delayed
CTR00152,SUP0301,0.06,R&D,2024-08-03,7,delayed
CTR00153,SUP0402,4.18,R&D,2023-06-06,44,active
CTR00154,SUP0294,20.64,Production,2021-12-15,14,terminated
CTR00155,SUP0057,7.94,Production,2022-07-12,24,completed
CTR00156,SUP0022,3.0,Sustainment,2020-06-13,21,active
CTR00157,SUP0387,8.73,Tech Services,2024-05-28,59,completed
CTR00158,SUP0456,0.02,Production,2023-11-23,30,delayed
CTR00159,SUP0248,12.92,Tech Services,2022-10-07,53,active
CTR00160,SUP0464,2.36,R&D,2022-07-10,23,delayed
CTR00161,SUP0223,4.49,Production,2024-01-23,28,completed
CTR00162,SUP0169,6.02,Sustainment,2021-11-21,58,completed
CTR00163,SUP0182,4.44,Sustainment,2023-12-15,26,active
CTR00164,SUP0424,2.68,Tech Services,2021-06-06,16,active
CTR00165,SUP0341,2.27,R&D,2021-11-27,44,active
CTR00166,SUP0065,6.38,Tech Services,2022-02-18,46,delayed
CTR00167,SUP0021,0.8,R&D,2024-12-18,9,completed
CTR00168,SUP0304,12.05,Sustainment,2022-07-23,30,completed
CTR00169,SUP0275,4.34,Tech Services,2021-04-24,37,delayed
CTR00170,SUP0451,0.78,Sustainment,2023-12-14,35,active
CTR00171,SUP0088,4.66,Sustainment,2020-05-15,50,terminated
CTR00172,SUP0111,2.64,R&D,2020-06-11,31,active
CTR00173,SUP0212,4.3,Tech Services,2022-03-30,41,terminated
CTR00174,SUP0297,5.11,Tech Services,2024-03-29,56,terminated
CTR00175,SUP0365,0.32,Sustainment,2021-04-12,39,delayed
CTR00176,SUP0093,2.47,Sustainment,2024-06-04,14,completed
CTR00177,SUP0348,9.41,R&D,2022-03-08,17,completed
CTR00178,SUP0165,1.35,Production,2020-10-13,7,completed
CTR00179,SUP0147,3.15,Production,2025-05-12,43,completed
CTR00180,SUP0316,1.61,Sustainment,2022-08-17,10,delayed
CTR00181,SUP0368,2.12,Production,2024-03-22,10,terminated
CTR00182,SUP0165,2.78,Production,2025-04-18,57,completed
CTR00183,SUP0091,2.79,Production,2025-04-28,27,terminated
CTR00184,SUP0061,0.79,Production,2021-05-28,10,delayed
CTR00185,SUP0157,4.04,Sustainment,2021-03-20,9,active
CTR00186,SUP0017,0.32,Production,2020-05-17,14,delayed
CTR00187,SUP0194,0.52,Production,2024-04-26,34,completed
CTR00188,SUP0455,0.01,R&D,2023-04-04,27,active
CTR00189,SUP0108,0.43,Sustainment,2023-03-26,32,delayed
CTR00190,SUP0127,2.24,Tech Services,2023-05-12,15,delayed
CTR00191,SUP0376,3.26,Tech Services,2024-02-24,21,terminated
CTR00192,SUP0139,5.53,R&D,2023-02-01,47,delayed
CTR00193,SUP0299,0.39,R&D,2021-02-22,47,active
CTR00194,SUP0118,6.66,Sustainment,2021-10-01,56,delayed
CTR00195,SUP0237,4.8,Tech Services,2022-12-02,15,completed
CTR00196,SUP0428,1.84,Production,2021-11-19,11,terminated
CTR00197,SUP0414,9.46,R&D,2021-03-02,54,active
CTR00198,SUP0430,16.46,Tech Services,2020-11-29,10,active
CTR00199,SUP0276,0.8,Sustainment,2021-02-26,11,delayed
CTR00200,SUP0410,1.67,Production,2025-01-23,52,completed
CTR00201,SUP0312,9.13,Sustainment,2022-08-31,30,terminated
CTR00202,SUP0441,4.48,R&D,2021-04-24,56,active
CTR00203,SUP0337,0.17,Tech Services,2021-09-28,55,terminated
CTR00204,SUP0487,5.32,Tech Services,2021-03-20,9,delayed
CTR00205,SUP0493,6.16,Tech Services,2021-08-11,45,completed
CTR00206,SUP0163,4.86,Tech Services,2020-10-01,53,delayed
CTR00207,SUP0414,5.62,Production,2024-07-17,37,terminated
CTR00208,SUP0017,6.1,Production,2024-07-13,56,delayed
CTR00209,SUP0387,0.72,Sustainment,2021-05-11,57,terminated
CTR00210,SUP0071,0.94,Production,2023-10-31,40,active
CTR00211,SUP0476,3.52,R&D,2020-11-26,15,active
CTR00212,SUP0169,8.35,R&D,2021-03-14,39,delayed
CTR00213,SUP0150,1.33,Tech Services,2023-08-29,41,active
CTR00214,SUP0150,3.11,R&D,2024-11-22,11,terminated
CTR00215,SUP0298,4.02,Sustainment,2024-08-06,48,active
CTR00216,SUP0474,2.1,Production,2022-10-17,51,completed
CTR00217,SUP0055,4.38,Production,2023-02-24,21,completed
CTR00218,SUP0173,8.05,Production,2025-02-28,58,delayed
CTR00219,SUP0252,3.42,R&D,2022-07-19,24,delayed
CTR00220,SUP0231,2.72,Production,2022-06-24,39,delayed
CTR00221,SUP0439,2.02,Tech Services,2024-02-28,30,delayed
CTR00222,SUP0028,3.02,Tech Services,2021-03-18,36,terminated
CTR00223,SUP0052,1.54,Tech Services,2022-02-17,54,terminated
CTR00224,SUP0065,1.74,R&D,2022-12-10,46,completed
CTR00225,SUP0233,2.66,Production,2024-06-26,22,terminated
CTR00226,SUP0285,0.24,R&D,2020-12-19,52,active
CTR00227,SUP0150,0.91,Production,2022-08-03,35,completed
CTR00228,SUP0015,2.74,Sustainment,2024-07-15,44,delayed
CTR00229,SUP0421,1.98,Sustainment,2022-05-21,59,delayed
CTR00230,SUP0305,1.42,R&D,2022-05-21,36,terminated
CTR00231,SUP0461,4.59,Tech Services,2023-06-11,24,completed
CTR00232,SUP0045,4.14,R&D,2024-05-29,40,terminated
CTR00233,SUP0043,0.64,Tech Services,2023-08-01,34,terminated
CTR00234,SUP0408,7.38,Production,2025-03-22,6,terminated
CTR00235,SUP0240,2.39,Tech Services,2023-04-30,9,completed
CTR00236,SUP0245,4.73,Tech Services,2022-03-24,33,delayed
CTR00237,SUP0079,2.98,Production,2020-12-18,23,active
CTR00238,SUP0415,21.25,Sustainment,2023-12-05,31,delayed
CTR00239,SUP0448,4.89,Production,2023-12-11,45,completed
CTR00240,SUP0212,4.3,R&D,2021-08-22,24,delayed
CTR00241,SUP0280,5.28,R&D,2020-09-20,11,delayed
CTR00242,SUP0380,0.54,R&D,2020-05-16,6,active
CTR00243,SUP0204,0.8,R&D,2022-11-11,13,delayed
CTR00244,SUP0412,4.38,R&D,2024-08-11,38,delayed
CTR00245,SUP0081,2.38,Sustainment,2020-06-03,56,delayed
CTR00246,SUP0446,4.92,Sustainment,2024-03-12,48,terminated
CTR00247,SUP0137,0.38,Tech Services,2020-11-18,26,completed
CTR00248,SUP0401,2.69,R&D,2024-08-07,29,completed
CTR00249,SUP0371,1.67,Production,2022-03-01,30,active
CTR00250,SUP0126,2.14,R&D,2021-06-13,52,terminated
CTR00251,SUP0228,3.24,Sustainment,2023-09-25,48,terminated
CTR00252,SUP0191,2.44,R&D,2024-12-02,24,delayed
CTR00253,SUP0156,2.72,Sustainment,2023-08-22,34,completed
CTR00254,SUP0105,2.33,Tech Services,2023-06-18,58,active
CTR00255,SUP0127,1.84,Tech Services,2021-08-09,15,terminated
CTR00256,SUP0325,5.17,Tech Services,2022-12-10,17,delayed
CTR00257,SUP0087,0.04,Sustainment,2025-01-29,38,active
CTR00258,SUP0332,3.19,R&D,2024-05-30,12,terminated
CTR00259,SUP0042,2.92,R&D,2024-01-26,22,active
CTR00260,SUP0335,4.41,Production,2024-10-29,15,terminated
CTR00261,SUP0286,3.2,Sustainment,2025-03-17,36,active
CTR00262,SUP0471,6.14,Production,2020-10-19,11,terminated
CTR00263,SUP0103,11.19,Tech Services,2022-12-15,22,terminated
CTR00264,SUP0221,1.47,R&D,2025-03-29,55,active
CTR00265,SUP0243,0.9,Sustainment,2021-06-17,42,terminated
CTR00266,SUP0037,1.93,Production,2025-01-16,23,terminated
CTR00267,SUP0278,1.19,Production,2023-10-06,31,terminated
CTR00268,SUP0235,3.34,Production,2024-10-08,54,active
CTR00269,SUP0416,8.5,R&D,2022-06-21,59,active
CTR00270,SUP0242,0.52,R&D,2020-08-15,21,terminated
CTR00271,SUP0205,0.37,R&D,2023-03-17,13,terminated
CTR00272,SUP0315,1.04,Sustainment,2024-06-01,29,active
CTR00273,SUP0488,4.53,R&D,2025-01-22,18,delayed
CTR00274,SUP0371,3.15,Sustainment,2023-08-21,34,terminated
CTR00275,SUP0376,0.38,Production,2023-05-04,37,delayed
CTR00276,SUP0333,8.79,Production,2023-09-03,29,active
CTR00277,SUP0048,5.46,Tech Services,2021-07-16,21,terminated
CTR00278,SUP0483,0.08,R&D,2021-03-12,16,delayed
CTR00279,SUP0227,3.69,Production,2022-09-30,37,active
CTR00280,SUP0049,5.16,R&D,2021-05-08,11,delayed
CTR00281,SUP0086,1.64,Sustainment,2025-04-16,40,completed
CTR00282,SUP0221,0.25,Production,2023-04-28,38,active
CTR00283,SUP0220,0.28,R&D,2022-09-09,23,completed
CTR00284,SUP0436,0.39,Production,2021-01-30,42,active
CTR00285,SUP0460,6.42,Production,2025-01-22,18,active
CTR00286,SUP0195,8.45,R&D,2020-11-08,15,terminated
CTR00287,SUP0212,0.46,Production,2024-05-04,42,completed
CTR00288,SUP0062,0.94,Production,2020-11-01,31,completed
CTR00289,SUP0417,0.63,Production,2022-07-07,51,completed
CTR00290,SUP0369,0.72,Production,2024-08-04,22,active
CTR00291,SUP0434,6.36,Sustainment,2020-11-14,6,completed
CTR00292,SUP0375,1.41,Production,2021-03-14,30,completed
CTR00293,SUP0343,1.31,Tech Services,2024-09-22,39,terminated
CTR00294,SUP0206,0.9,Production,2020-10-05,44,delayed
CTR00295,SUP0193,3.28,R&D,2021-07-23,15,delayed
CTR00296,SUP0309,1.67,Tech Services,2023-07-25,25,completed
CTR00297,SUP0434,4.77,Sustainment,2021-09-19,12,completed
CTR00298,SUP0126,0.81,Tech Services,2023-11-05,21,completed
CTR00299,SUP0309,5.43,Tech Services,2023-03-12,42,completed
CTR00300,SUP0041,3.24,Tech Services,2024-11-25,34,delayed
CTR00301,SUP0280,0.42,R&D,2021-06-27,17,terminated
CTR00302,SUP0496,1.87,R&D,2024-12-21,22,active
CTR00303,SUP0261,6.97,R&D,2025-01-20,53,completed
CTR00304,SUP0340,8.97,Sustainment,2020-10-15,25,completed
CTR00305,SUP0414,2.19,R&D,2021-09-09,31,delayed
CTR00306,SUP0133,2.29,R&D,2023-05-13,53,completed
CTR00307,SUP0355,8.77,Tech Services,2022-05-06,24,terminated
CTR00308,SUP0331,3.1,R&D,2024-08-26,52,terminated
CTR00309,SUP0315,0.12,Production,2024-06-14,17,completed
CTR00310,SUP0198,8.54,R&D,2023-09-02,26,delayed
CTR00311,SUP0048,1.0,Sustainment,2024-10-30,47,completed
CTR00312,SUP0156,3.02,Sustainment,2021-03-23,59,completed
CTR00313,SUP0315,0.63,Production,2022-11-03,39,delayed
CTR00314,SUP0295,0.12,Sustainment,2023-09-21,12,terminated
CTR00315,SUP0420,1.31,Sustainment,2022-03-06,50,active
CTR00316,SUP0212,5.31,Tech Services,2020-11-28,40,completed
CTR00317,SUP0060,1.14,Production,2025-01-12,20,terminated
CTR00318,SUP0380,0.87,Tech Services,2023-04-26,6,completed
CTR00319,SUP0432,0.84,Tech Services,2021-01-13,31,active
CTR00320,SUP0196,2.53,R&D,2020-09-26,40,delayed
CTR00321,SUP0011,12.99,Production,2023-03-04,30,terminated
CTR00322,SUP0081,2.15,R&D,2024-12-11,47,active
CTR00323,SUP0068,2.85,R&D,2022-02-14,20,completed
CTR00324,SUP0239,6.9,Tech Services,2023-10-22,27,active
CTR00325,SUP0118,2.68,Sustainment,2025-02-07,11,terminated
CTR00326,SUP0402,0.71,Production,2023-09-05,57,delayed
CTR00327,SUP0015,1.25,Sustainment,2022-10-07,20,completed
CTR00328,SUP0148,1.3,Tech Services,2024-04-16,29,delayed
CTR00329,SUP0022,1.77,Tech Services,2020-08-22,26,delayed
CTR00330,SUP0348,1.95,Tech Services,2021-01-11,12,active
CTR00331,SUP0266,5.63,Tech Services,2023-11-19,34,active
CTR00332,SUP0152,1.5,Tech Services,2021-03-23,37,terminated
CTR00333,SUP0307,2.21,Tech Services,2024-03-27,37,terminated
CTR00334,SUP0077,3.43,Sustainment,2022-11-23,58,delayed
CTR00335,SUP0103,1.66,R&D,2022-01-07,10,terminated
CTR00336,SUP0304,6.34,Sustainment,2022-10-19,9,delayed
CTR00337,SUP0115,3.1,Production,2023-04-21,27,completed
CTR00338,SUP0375,1.22,Sustainment,2020-12-22,23,delayed
CTR00339,SUP0287,4.38,Tech Services,2025-05-12,40,terminated
CTR00340,SUP0029,2.63,Sustainment,2023-05-26,22,terminated
CTR00341,SUP0156,2.68,R&D,2021-12-27,55,delayed
CTR00342,SUP0372,2.3,Production,2022-11-18,55,active
CTR00343,SUP0319,2.41,Sustainment,2024-11-26,29,delayed
CTR00344,SUP0143,5.07,R&D,2025-02-19,7,delayed
CTR00345,SUP0217,0.38,Sustainment,2020-10-27,18,active
CTR00346,SUP0316,1.42,Production,2024-05-26,59,completed
CTR00347,SUP0041,0.27,Sustainment,2024-06-27,20,active
CTR00348,SUP0230,4.9,Tech Services,2023-07-31,10,terminated
CTR00349,SUP0423,1.11,Sustainment,2024-01-09,8,active
CTR00350,SUP0054,7.97,R&D,2024-01-22,42,terminated
CTR00351,SUP0201,2.62,Sustainment,2024-02-24,42,terminated
CTR00352,SUP0218,5.65,R&D,2024-08-07,42,delayed
CTR00353,SUP0360,13.51,Production,2024-07-29,8,delayed
CTR00354,SUP0304,6.41,Sustainment,2025-03-24,40,completed
CTR00355,SUP0019,7.06,Production,2020-10-30,57,terminated
CTR00356,SUP0441,1.83,Production,2023-10-13,28,delayed
CTR00357,SUP0404,2.81,Sustainment,2022-07-04,33,terminated
CTR00358,SUP0177,1.03,R&D,2021-10-23,35,completed
CTR00359,SUP0269,0.76,Production,2023-01-22,23,terminated
CTR00360,SUP0037,2.46,Production,2024-09-24,57,completed
CTR00361,SUP0314,3.16,Sustainment,2024-11-12,41,completed
CTR00362,SUP0015,1.45,Sustainment,2022-06-01,38,completed
CTR00363,SUP0022,2.95,Sustainment,2023-10-20,31,delayed
CTR00364,SUP0115,7.65,Sustainment,2020-09-09,53,active
CTR00365,SUP0425,2.85,Sustainment,2022-05-15,45,active
CTR00366,SUP0465,4.47,Tech Services,2021-03-24,22,delayed
CTR00367,SUP0076,5.73,Sustainment,2022-03-09,45,terminated
CTR00368,SUP0018,15.7,R&D,2020-12-18,12,delayed
CTR00369,SUP0214,3.24,Production,2020-11-11,13,terminated
CTR00370,SUP0204,5.76,R&D,2021-10-28,58,completed
CTR00371,SUP0393,11.51,R&D,2022-03-16,36,delayed
CTR00372,SUP0250,10.11,Tech Services,2020-07-21,17,active
CTR00373,SUP0092,0.53,Sustainment,2023-05-07,53,terminated
CTR00374,SUP0331,1.83,Production,2021-06-14,36,delayed
CTR00375,SUP0036,1.37,R&D,2024-09-21,49,delayed
CTR00376,SUP0316,0.32,Sustainment,2025-02-01,24,terminated
CTR00377,SUP0362,3.51,Sustainment,2021-04-04,15,completed
CTR00378,SUP0064,4.66,Tech Services,2024-02-08,44,completed
CTR00379,SUP0441,6.6,Tech Services,2021-05-14,17,completed
CTR00380,SUP0193,0.46,Tech Services,2023-12-22,25,completed
CTR00381,SUP0051,7.32,Production,2020-12-31,42,terminated
CTR00382,SUP0077,3.6,R&D,2024-12-01,53,active
CTR00383,SUP0088,4.26,Tech Services,2021-03-24,46,delayed
CTR00384,SUP0075,8.45,Tech Services,2025-03-31,12,delayed
CTR00385,SUP0266,3.43,Tech Services,2024-05-07,57,completed
CTR00386,SUP0240,1.43,R&D,2020-11-24,59,terminated
CTR00387,SUP0001,6.1,R&D,2022-02-10,19,active
CTR00388,SUP0019,1.58,Tech Services,2024-11-10,16,active
CTR00389,SUP0090,0.12,Tech Services,2020-07-22,12,delayed
CTR00390,SUP0076,6.22,Sustainment,2025-02-28,34,completed
CTR00391,SUP0055,1.48,Tech Services,2021-07-12,15,delayed
CTR00392,SUP0033,5.2,Production,2021-04-26,34,delayed
CTR00393,SUP0155,1.58,Production,2022-02-08,14,active
CTR00394,SUP0415,6.91,Tech Services,2022-01-14,41,terminated
CTR00395,SUP0074,0.87,R&D,2024-11-25,53,active
CTR00396,SUP0473,12.85,Sustainment,2021-07-26,15,delayed
CTR00397,SUP0359,5.3,R&D,2022-03-20,24,completed
CTR00398,SUP0202,0.42,Tech Services,2020-07-12,36,completed
CTR00399,SUP0087,2.92,Production,2022-07-12,22,terminated
CTR00400,SUP0451,14.79,Sustainment,2024-03-11,14,terminated
CTR00401,SUP0138,2.23,R&D,2023-11-04,50,terminated
CTR00402,SUP0500,0.7,R&D,2021-08-25,38,delayed
CTR00403,SUP0063,2.32,Tech Services,2023-07-31,39,delayed
CTR00404,SUP0295,2.51,Sustainment,2020-11-18,50,terminated
CTR00405,SUP0280,4.74,Production,2025-02-06,29,completed
CTR00406,SUP0188,4.2,Tech Services,2024-07-12,14,completed
CTR00407,SUP0274,1.8,Sustainment,2022-12-09,12,completed
CTR00408,SUP0043,0.86,R&D,2024-01-22,21,delayed
CTR00409,SUP0074,3.63,Tech Services,2024-08-23,24,active
CTR00410,SUP0426,1.92,R&D,2023-08-24,44,completed
CTR00411,SUP0238,0.5,R&D,2022-11-22,11,completed
CTR00412,SUP0173,8.08,Tech Services,2023-12-12,55,completed
CTR00413,SUP0047,4.11,Tech Services,2021-04-05,56,terminated
CTR00414,SUP0298,4.02,Tech Services,2023-12-08,16,delayed
CTR00415,SUP0370,6.05,Tech Services,2024-02-10,17,terminated
CTR00416,SUP0372,2.64,Tech Services,2024-09-06,47,terminated
CTR00417,SUP0216,5.91,R&D,2024-11-29,18,active
CTR00418,SUP0275,2.41,Production,2022-01-22,17,terminated
CTR00419,SUP0407,0.24,Production,2023-08-31,26,active
CTR00420,SUP0360,1.82,Tech Services,2022-12-24,15,terminated
