contract_id,supplier_id,contract_value_million,contract_type,award_date,expected_duration_months,status,supplier_name,past_contracts,average_delay_days,compliance_issues,delay_days,contract_age_days,contract_age_months,value_per_month,normalized_delay,normalized_compliance,risk_score,risk_level
CTR00218,SUP0173,8.05,Production,2025-02-28,58,delayed,"Davis, Garcia and Lloyd",19,12,1,85,95,3,0.13879310344827586,0.3125,0.25,0.2875,Low
CTR00219,SUP0252,3.42,R&D,2022-07-19,24,delayed,Powell-Bowman,41,152,0,118,1050,35,0.1425,0.45982142857142855,0.0,0.2758928571428571,Low
CTR00220,SUP0231,2.72,Production,2022-06-24,39,delayed,Smith Inc,20,23,3,103,1075,35,0.06974358974358975,0.39285714285714285,0.75,0.5357142857142858,Medium
CTR00221,SUP0439,2.02,Tech Services,2024-02-28,30,delayed,"Green, Ferguson and Rodriguez",28,113,0,20,461,15,0.06733333333333333,0.022321428571428572,0.0,0.013392857142857142,Low
CTR00229,SUP0421,1.98,Sustainment,2022-05-21,59,delayed,Graham Group,7,137,0,124,1109,36,0.0335593220338983,0.48660714285714285,0.0,0.2919642857142857,Low
CTR00236,SUP0245,4.73,Tech Services,2022-03-24,33,delayed,Cox LLC,25,116,3,222,1167,38,0.14333333333333334,0.9241071428571429,0.75,0.8544642857142858,High
CTR00238,SUP0415,21.25,Sustainment,2023-12-05,31,delayed,Brown and Sons,2,36,4,202,546,18,0.6854838709677419,0.8348214285714286,1.0,0.9008928571428572,High
CTR00240,SUP0212,4.3,R&D,2021-08-22,24,delayed,"Griffin, Williams and Reynolds",21,47,2,126,1381,46,0.17916666666666667,0.4955357142857143,0.5,0.4973214285714286,Medium
CTR00241,SUP0280,5.28,R&D,2020-09-20,11,delayed,"Young, Jefferson and Howell",8,124,0,210,1717,57,0.48000000000000004,0.8705357142857143,0.0,0.5223214285714286,Medium
CTR00243,SUP0204,0.8,R&D,2022-11-11,13,delayed,Graham and Sons,19,45,4,171,935,31,0.06153846153846154,0.6964285714285714,1.0,0.8178571428571428,High
CTR00245,SUP0081,2.38,Sustainment,2020-06-03,56,delayed,Gay-Scott,26,173,0,234,1826,60,0.042499999999999996,0.9776785714285714,0.0,0.5866071428571428,Medium
CTR00252,SUP0191,2.44,R&D,2024-12-02,24,delayed,"Luna, Lee and Walker",15,12,0,164,183,6,0.10166666666666667,0.6651785714285714,0.0,0.3991071428571428,Medium
CTR00256,SUP0325,5.17,Tech Services,2022-12-10,17,delayed,Rice Ltd,21,181,1,141,906,30,0.30411764705882355,0.5625,0.25,0.4375,Medium
CTR00273,SUP0488,4.53,R&D,2025-01-22,18,delayed,"Ellis, Hunt and Smith",16,43,4,150,132,4,0.2516666666666667,0.6026785714285714,1.0,0.7616071428571429,High
CTR00275,SUP0376,0.38,Production,2023-05-04,37,delayed,Martin-Williams,25,56,0,77,761,25,0.010270270270270271,0.2767857142857143,0.0,0.16607142857142856,Low
CTR00278,SUP0483,0.08,R&D,2021-03-12,16,delayed,"Foster, Wheeler and Hutchinson",45,49,1,238,1544,51,0.005,0.9955357142857143,0.25,0.6973214285714285,Medium
CTR00280,SUP0049,5.16,R&D,2021-05-08,11,delayed,"Jones, Armstrong and Calderon",47,47,4,239,1487,49,0.4690909090909091,1.0,1.0,1.0,High
CTR00294,SUP0206,0.9,Production,2020-10-05,44,delayed,Novak-Santana,2,57,4,155,1702,56,0.020454545454545454,0.625,1.0,0.775,High
CTR00295,SUP0193,3.28,R&D,2021-07-23,15,delayed,Pena-Brown,49,179,0,169,1411,47,0.21866666666666665,0.6875,0.0,0.4125,Medium
CTR00305,SUP0414,2.19,R&D,2021-09-09,31,delayed,"Johnson, Lucas and Harrison",2,127,4,32,1363,45,0.07064516129032258,0.07589285714285714,1.0,0.4455357142857143,Medium
CTR00310,SUP0198,8.54,R&D,2023-09-02,26,delayed,Graves-Moore,38,108,3,91,640,21,0.3284615384615384,0.3392857142857143,0.75,0.5035714285714286,Medium
CTR00313,SUP0315,0.63,Production,2022-11-03,39,delayed,Gomez Inc,32,123,0,228,943,31,0.016153846153846154,0.9508928571428571,0.0,0.5705357142857143,Medium
CTR00320,SUP0196,2.53,R&D,2020-09-26,40,delayed,Russo PLC,1,195,1,204,1711,57,0.06325,0.84375,0.25,0.60625,Medium
CTR00326,SUP0402,0.71,Production,2023-09-05,57,delayed,Boyer-Wade,27,98,4,156,637,21,0.012456140350877193,0.6294642857142857,1.0,0.7776785714285714,High
CTR00328,SUP0148,1.3,Tech Services,2024-04-16,29,delayed,"Anderson, Garcia and Cowan",18,175,3,153,413,13,0.04482758620689655,0.6160714285714286,0.75,0.6696428571428572,Medium
CTR00336,SUP0304,6.34,Sustainment,2022-10-19,9,delayed,Sullivan LLC,15,126,4,228,958,31,0.7044444444444444,0.9508928571428571,1.0,0.9705357142857143,High
CTR00338,SUP0375,1.22,Sustainment,2020-12-22,23,delayed,Ball-Vasquez,15,51,2,31,1624,54,0.05304347826086957,0.07142857142857142,0.5,0.24285714285714285,Low
CTR00343,SUP0319,2.41,Sustainment,2024-11-26,29,delayed,"Gross, Stark and Reid",40,32,1,238,189,6,0.08310344827586208,0.9955357142857143,0.25,0.6973214285714285,Medium
CTR00344,SUP0143,5.07,R&D,2025-02-19,7,delayed,Horn LLC,1,134,2,28,104,3,0.7242857142857143,0.05803571428571429,0.5,0.23482142857142857,Low
CTR00352,SUP0218,5.65,R&D,2024-08-07,42,delayed,"Park, Wise and Gonzalez",38,186,0,71,300,10,0.13452380952380955,0.25,0.0,0.15,Low
CTR00353,SUP0360,13.51,Production,2024-07-29,8,delayed,Cohen Inc,8,98,2,107,309,10,1.68875,0.4107142857142857,0.5,0.4464285714285714,Medium
CTR00356,SUP0441,1.83,Production,2023-10-13,28,delayed,Nelson-Ramirez,24,84,1,148,599,19,0.06535714285714286,0.59375,0.25,0.45625000000000004,Medium
CTR00368,SUP0018,15.7,R&D,2020-12-18,12,delayed,Norris-Parker,14,85,4,146,1628,54,1.3083333333333333,0.5848214285714286,1.0,0.7508928571428573,High
CTR00371,SUP0393,11.51,R&D,2022-03-16,36,delayed,"Johnson, Hartman and Gibbs",6,42,2,153,1175,39,0.31972222222222224,0.6160714285714286,0.5,0.5696428571428571,Medium
CTR00383,SUP0088,4.26,Tech Services,2021-03-24,46,delayed,Sanchez Group,32,146,2,133,1532,51,0.0926086956521739,0.5267857142857143,0.5,0.5160714285714285,Medium
CTR00384,SUP0075,8.45,Tech Services,2025-03-31,12,delayed,Snyder Ltd,37,169,4,106,64,2,0.7041666666666666,0.40625,1.0,0.64375,Medium
CTR00389,SUP0090,0.12,Tech Services,2020-07-22,12,delayed,"Burgess, Pham and Kennedy",18,104,2,25,1777,59,0.01,0.044642857142857144,0.5,0.22678571428571428,Low
CTR00391,SUP0055,1.48,Tech Services,2021-07-12,15,delayed,"Nguyen, Carroll and Santiago",6,143,2,113,1422,47,0.09866666666666667,0.4375,0.5,0.4625,Medium
CTR00392,SUP0033,5.2,Production,2021-04-26,34,delayed,Boyle-Shepherd,40,161,1,221,1499,49,0.15294117647058825,0.9196428571428571,0.25,0.6517857142857142,Medium
CTR00396,SUP0473,12.85,Sustainment,2021-07-26,15,delayed,Hunter-Weeks,8,178,0,22,1408,46,0.8566666666666667,0.03125,0.0,0.01875,Low
CTR00402,SUP0500,0.7,R&D,2021-08-25,38,delayed,Johnson-Day,27,27,0,226,1378,45,0.018421052631578946,0.9419642857142857,0.0,0.5651785714285714,Medium
CTR00403,SUP0063,2.32,Tech Services,2023-07-31,39,delayed,Brown-Howell,20,89,0,128,673,22,0.059487179487179485,0.5044642857142857,0.0,0.3026785714285714,Medium
CTR00408,SUP0043,0.86,R&D,2024-01-22,21,delayed,"Reynolds, Aguilar and Anderson",23,135,4,201,498,16,0.04095238095238095,0.8303571428571429,1.0,0.8982142857142857,High
CTR00414,SUP0298,4.02,Tech Services,2023-12-08,16,delayed,Orozco-Carr,9,184,4,163,543,18,0.25125,0.6607142857142857,1.0,0.7964285714285715,High
CTR00425,SUP0211,1.07,R&D,2022-01-27,29,delayed,Jackson Inc,11,128,3,107,1223,40,0.03689655172413793,0.4107142857142857,0.75,0.5464285714285715,Medium
CTR00429,SUP0057,3.51,Sustainment,2022-07-14,40,delayed,"Brown, Adkins and Howard",30,37,1,166,1055,35,0.08775,0.6741071428571429,0.25,0.5044642857142857,Medium
CTR00443,SUP0065,2.01,Production,2020-10-28,6,delayed,Campbell PLC,39,22,0,118,1679,55,0.33499999999999996,0.45982142857142855,0.0,0.2758928571428571,Low
CTR00447,SUP0005,10.44,Tech Services,2021-09-30,56,delayed,"Liu, Jones and Jones",17,142,3,113,1342,44,0.18642857142857142,0.4375,0.75,0.5625,Medium
CTR00456,SUP0100,6.56,Production,2024-11-25,31,delayed,Baker Ltd,12,100,3,239,190,6,0.21161290322580645,1.0,0.75,0.9,High
CTR00459,SUP0182,3.42,Tech Services,2024-09-16,8,delayed,Palmer Ltd,44,159,1,98,260,8,0.4275,0.3705357142857143,0.25,0.3223214285714286,Medium
CTR00461,SUP0479,1.48,Sustainment,2023-03-16,8,delayed,"Bell, Jones and Black",9,54,1,199,810,27,0.185,0.8214285714285714,0.25,0.5928571428571429,Medium
CTR00476,SUP0108,5.46,R&D,2023-08-05,24,delayed,Pruitt-Smith,19,80,4,237,668,22,0.2275,0.9910714285714286,1.0,0.9946428571428572,High
CTR00480,SUP0230,11.11,Tech Services,2021-09-01,49,delayed,Morales-Orr,29,67,2,159,1371,45,0.22673469387755102,0.6428571428571429,0.5,0.5857142857142857,Medium
CTR00488,SUP0128,3.64,R&D,2020-05-15,19,delayed,Roberts-Ramos,28,185,3,45,1845,61,0.19157894736842107,0.13392857142857142,0.75,0.3803571428571429,Medium
CTR00489,SUP0393,4.14,R&D,2021-05-01,58,delayed,"Johnson, Hartman and Gibbs",6,42,2,78,1494,49,0.07137931034482758,0.28125,0.5,0.36875,Medium
CTR00492,SUP0325,0.16,Production,2022-01-26,55,delayed,Rice Ltd,21,181,1,62,1224,40,0.0029090909090909093,0.20982142857142858,0.25,0.22589285714285715,Low
CTR00495,SUP0293,2.84,R&D,2020-07-21,29,delayed,"Santiago, Douglas and Jordan",43,89,4,37,1778,59,0.09793103448275861,0.09821428571428571,1.0,0.45892857142857146,Medium
CTR00500,SUP0093,0.75,R&D,2022-12-10,31,delayed,"Walker, Rose and Rhodes",49,157,0,69,906,30,0.024193548387096774,0.24107142857142858,0.0,0.14464285714285713,Low
CTR00501,SUP0377,0.43,Sustainment,2021-09-04,48,delayed,"Randolph, Wiley and Joseph",3,68,3,21,1368,45,0.008958333333333334,0.026785714285714284,0.75,0.3160714285714286,Medium
CTR00503,SUP0430,5.55,Tech Services,2021-04-19,49,delayed,Hernandez Inc,7,180,1,126,1506,50,0.11326530612244898,0.4955357142857143,0.25,0.3973214285714286,Medium
CTR00505,SUP0188,0.2,R&D,2024-12-06,32,delayed,Lopez-Gonzalez,37,62,3,120,179,5,0.00625,0.46875,0.75,0.58125,Medium
CTR00509,SUP0365,3.68,Production,2024-10-29,38,delayed,Moore-Roberts,23,68,1,217,217,7,0.0968421052631579,0.9017857142857143,0.25,0.6410714285714285,Medium
CTR00511,SUP0237,2.88,R&D,2022-12-02,53,delayed,"Greene, Miller and Perry",2,17,4,112,914,30,0.05433962264150943,0.4330357142857143,1.0,0.6598214285714286,Medium
CTR00517,SUP0199,2.97,Production,2020-06-29,39,delayed,Simpson Inc,35,182,4,26,1800,60,0.07615384615384616,0.049107142857142856,1.0,0.42946428571428574,Medium
CTR00519,SUP0283,2.71,Sustainment,2021-11-25,58,delayed,Calhoun-Nash,1,79,4,74,1286,42,0.046724137931034485,0.26339285714285715,1.0,0.5580357142857143,Medium
CTR00523,SUP0120,1.95,Tech Services,2023-12-28,57,delayed,"Reed, Thomas and Boyle",35,65,3,66,523,17,0.034210526315789476,0.22767857142857142,0.75,0.43660714285714286,Medium
CTR00526,SUP0492,2.17,Production,2020-11-17,22,delayed,Garza-Hamilton,33,68,1,169,1659,55,0.09863636363636363,0.6875,0.25,0.5125,Medium
CTR00533,SUP0481,0.03,R&D,2021-06-03,34,delayed,"Weiss, Cortez and Hogan",44,157,2,155,1461,48,0.0008823529411764705,0.625,0.5,0.575,Medium
CTR00546,SUP0342,2.2,Production,2023-05-30,33,delayed,"Herring, Brown and Young",44,117,3,139,735,24,0.06666666666666667,0.5535714285714286,0.75,0.6321428571428571,Medium
CTR00551,SUP0404,1.14,Sustainment,2025-01-25,19,delayed,Perez Group,42,110,1,171,129,4,0.06,0.6964285714285714,0.25,0.5178571428571428,Medium
CTR00554,SUP0444,0.41,Production,2025-04-08,56,delayed,"Petty, Lindsey and Holland",49,111,0,177,56,1,0.007321428571428571,0.7232142857142857,0.0,0.4339285714285714,Medium
CTR00556,SUP0378,0.47,R&D,2023-12-03,34,delayed,Gonzales Ltd,17,137,4,74,548,18,0.013823529411764705,0.26339285714285715,1.0,0.5580357142857143,Medium
CTR00563,SUP0055,3.21,Sustainment,2024-04-02,55,delayed,"Nguyen, Carroll and Santiago",6,143,2,90,427,14,0.05836363636363636,0.33482142857142855,0.5,0.40089285714285716,Medium
CTR00570,SUP0247,0.92,Production,2022-11-09,40,delayed,"Anderson, Huffman and Jones",31,150,1,75,937,31,0.023,0.26785714285714285,0.25,0.2607142857142857,Low
CTR00571,SUP0245,6.22,Production,2024-11-22,44,delayed,Cox LLC,25,116,3,16,193,6,0.14136363636363636,0.004464285714285714,0.75,0.30267857142857146,Medium
CTR00576,SUP0128,11.04,Sustainment,2022-02-07,50,delayed,Roberts-Ramos,28,185,3,175,1212,40,0.2208,0.7142857142857143,0.75,0.7285714285714286,High
CTR00578,SUP0184,5.65,Sustainment,2024-11-03,56,delayed,"Brown, Murphy and Terry",28,0,0,214,212,7,0.10089285714285715,0.8883928571428571,0.0,0.5330357142857143,Medium
CTR00580,SUP0062,0.85,Sustainment,2025-01-24,17,delayed,"Melton, Murphy and Buckley",24,179,4,135,130,4,0.049999999999999996,0.5357142857142857,1.0,0.7214285714285714,High
CTR00583,SUP0361,2.61,R&D,2020-12-16,36,delayed,Alvarez-Silva,46,27,1,73,1630,54,0.0725,0.25892857142857145,0.25,0.25535714285714284,Low
CTR00584,SUP0377,1.05,Production,2020-12-16,33,delayed,"Randolph, Wiley and Joseph",3,68,3,54,1630,54,0.03181818181818182,0.17410714285714285,0.75,0.4044642857142857,Medium
CTR00585,SUP0138,2.53,R&D,2021-09-18,27,delayed,Hayes PLC,15,167,0,191,1354,45,0.09370370370370369,0.7857142857142857,0.0,0.4714285714285714,Medium
CTR00587,SUP0365,19.63,R&D,2023-02-02,33,delayed,Moore-Roberts,23,68,1,46,852,28,0.5948484848484848,0.13839285714285715,0.25,0.1830357142857143,Low
CTR00603,SUP0217,9.39,Tech Services,2023-01-07,41,delayed,Owens-Lewis,7,62,2,221,878,29,0.22902439024390245,0.9196428571428571,0.5,0.7517857142857143,High
CTR00607,SUP0471,0.02,R&D,2021-04-03,29,delayed,Bowen Inc,45,0,0,229,1522,50,0.0006896551724137932,0.9553571428571429,0.0,0.5732142857142857,Medium
CTR00617,SUP0023,2.54,R&D,2020-11-29,34,delayed,Brooks and Sons,15,60,1,155,1647,54,0.07470588235294118,0.625,0.25,0.475,Medium
CTR00619,SUP0266,2.96,Production,2022-07-04,11,delayed,"Watkins, Haley and Bishop",40,134,0,99,1065,35,0.2690909090909091,0.375,0.0,0.22499999999999998,Low
CTR00622,SUP0205,7.0,Tech Services,2023-05-08,58,delayed,Brown-Hays,24,19,1,196,757,25,0.1206896551724138,0.8080357142857143,0.25,0.5848214285714286,Medium
CTR00638,SUP0279,7.39,Production,2023-02-08,48,delayed,Andrews-Arnold,39,160,4,142,846,28,0.15395833333333334,0.5669642857142857,1.0,0.7401785714285714,High
CTR00650,SUP0103,2.87,Sustainment,2023-01-10,41,delayed,Rivers-Flowers,32,15,3,53,875,29,0.07,0.16964285714285715,0.75,0.4017857142857143,Medium
CTR00658,SUP0390,1.98,Sustainment,2025-01-16,18,delayed,Mack-Murillo,22,114,2,124,138,4,0.11,0.48660714285714285,0.5,0.4919642857142857,Medium
CTR00662,SUP0057,4.9,Tech Services,2022-04-21,13,delayed,"Brown, Adkins and Howard",30,37,1,121,1139,37,0.37692307692307697,0.4732142857142857,0.25,0.3839285714285714,Medium
CTR00666,SUP0029,10.3,Sustainment,2021-12-21,29,delayed,Wilkerson-Glover,16,136,3,156,1260,42,0.3551724137931035,0.6294642857142857,0.75,0.6776785714285715,Medium
CTR00674,SUP0153,16.17,Tech Services,2023-11-23,52,delayed,Jackson and Sons,24,189,3,38,558,18,0.3109615384615385,0.10267857142857142,0.75,0.3616071428571429,Medium
CTR00682,SUP0075,1.63,R&D,2024-12-14,47,delayed,Snyder Ltd,37,169,4,200,171,5,0.03468085106382979,0.8258928571428571,1.0,0.8955357142857143,High
CTR00683,SUP0391,5.98,Sustainment,2021-09-10,49,delayed,Beck PLC,25,98,0,205,1362,45,0.12204081632653062,0.8482142857142857,0.0,0.5089285714285714,Medium
CTR00691,SUP0471,2.62,Sustainment,2022-01-23,6,delayed,Bowen Inc,45,0,0,126,1227,40,0.4366666666666667,0.4955357142857143,0.0,0.29732142857142857,Low
CTR00705,SUP0462,5.0,Production,2020-11-22,21,delayed,"Calderon, Fuentes and Hines",42,12,0,228,1654,55,0.23809523809523808,0.9508928571428571,0.0,0.5705357142857143,Medium
CTR00708,SUP0246,1.35,Sustainment,2021-04-06,28,delayed,"Floyd, Martin and Smith",40,18,0,132,1519,50,0.048214285714285716,0.5223214285714286,0.0,0.31339285714285714,Medium
CTR00709,SUP0212,4.51,R&D,2020-06-22,50,delayed,"Griffin, Williams and Reynolds",21,47,2,214,1807,60,0.0902,0.8883928571428571,0.5,0.7330357142857142,High
CTR00718,SUP0137,0.8,R&D,2021-03-23,44,delayed,Brooks-Callahan,30,116,1,163,1533,51,0.018181818181818184,0.6607142857142857,0.25,0.49642857142857144,Medium
CTR00720,SUP0293,0.58,Production,2022-05-13,52,delayed,"Santiago, Douglas and Jordan",43,89,4,179,1117,37,0.011153846153846153,0.7321428571428571,1.0,0.8392857142857142,High
CTR00722,SUP0255,2.65,R&D,2023-06-26,56,delayed,"Singleton, Reyes and Wong",48,139,0,21,708,23,0.04732142857142857,0.026785714285714284,0.0,0.01607142857142857,Low
CTR00723,SUP0057,0.06,Sustainment,2024-11-06,11,delayed,"Brown, Adkins and Howard",30,37,1,104,209,6,0.005454545454545454,0.39732142857142855,0.25,0.33839285714285716,Medium
CTR00736,SUP0193,0.61,Production,2022-08-21,38,delayed,Pena-Brown,49,179,0,27,1017,33,0.016052631578947367,0.05357142857142857,0.0,0.03214285714285714,Low
CTR00738,SUP0335,1.38,Production,2025-03-08,44,delayed,Brown-Pruitt,29,28,4,44,87,2,0.031363636363636364,0.12946428571428573,1.0,0.47767857142857145,Medium
